Title,Location,Company,Salary,Summary
Environmental Project Engineer / Geologist (PE/PG preferred),"Fresno, CA 93722 (West area)",Blackburn Consulting,"$60,000 - $90,000 a year","This candidate should have 5+ years of experience in a project-based, environmental related field.Blackburn Consulting is seeking a full-time Environmental…"
Environmental Scientist/Engineer - Site Investigation & Reme...,"Newark, NJ 07102 (Central Business District area)",Vanasse Hangen Brustlin,None,5+ years of related professional environmental consulting experience with strong technical writing abilities.
"ENVIRONMENTAL ENGINEER, LICENSED","Montgomery, AL 36130",State of Alabama Personnel Department,"$58,128 - $88,538 a year","A unit or section, provide guidance to less experienced non-licensed engineers and/or perform important technical advisory duties."
Water Resource Engineer,"Watertown, MA 02472",Vanasse Hangen Brustlin,None,"Familiarity with stormwater management design, Low Impact Development/green infrastructure design, floodplain management, storm sewer design, grading and site…"
Environmental Supervisor,"La Puente, CA 91746",Quemetco,"$75,000 - $80,000 a year","Pertinent knowledge of local, state and federal environmental laws, ordinances, codes, and rules relating to secondary smelting operations."
INTERDISCIPLINARY ENGINEER/NAVAL ARCHITECT,"Pearl Harbor, HI",US Department of the Navy,"$45,489 - $110,559 a year",FOR THE GS-12: Your resume must demonstrate one year of specialized experience equivalent to the next lower grade level (GS-11) or pay band in the federal…
Environmental Engineer,"Tampa, FL",Southshore Environmental,None,Strong grasp of federal and state environmental regulations specific to the power generation sector.Perform environmental compliance assessments and implement…
Sr. Environmental Professional,"Santa Clarita, CA 91355",LEIGHTON GROUP INC,None,"10 years of related California experience in contaminated site investigations, engineering feasibility studies, remedial and mitigation system design and…"
Entry level water engineer - 2021,"Philadelphia, PA",Mott MacDonald,None,"0-2 years’ experience in the design, permitting and construction management of stormwater management including green stormwater infrastructure projects."
Environmental Engineering,"Yale, MI",Association of Environmental Engineering and Scien...,None,The search is focused on scholars holding (or soon to hold) a PhD in environmental science and engineering or a related discipline and having research expertise…
Wastewater Engineer,"Temple, PA",MRA Unlimited Inc.,"$75,000 - $100,000 a year",Able to handle multiple projects.Experience in understanding water treatment and wastewater treatment.Bachelors in Environmental or Civil Engineering.
Entry-level Engineer 1,"Andover, MA",Woodard & Curran,None,"This position will provide engineering support in many of the following areas: field investigation for water/sewer projects, supporting the design of upgrades…"
ENVIRONMENTAL VALIDATION LEAD ENGINEER,"Troy, MI 48083",Valeo,None,Prepare and review of the environmental test reports.Defines environmental test cases according to requirements and Environmental test standards.
Environmental Engineer or Geologist,"Ann Arbor, MI 48108",Barr Engineering,None,"Applicants may be asked to participate in a drug screening program at the request of specific clients.In addition to a highly competitive benefits package, we…"
Environmental Professional,"Charleston, SC 29405",Insight Group,None,IG is a geotechnical and construction materials engineering consultant group and our mission is to leverage our technical expertise in the region to provide…
Civil Engineer,"New Ellenton, SC",US Department of Agriculture,"$92,143 - $119,787 a year","Oversees study projects to develop guidelines, standards, and procedures for analyzing public needs, demands.For example, an applicant who attains registration…"
Junior Engineer or Geomorphologist,"Sacramento, CA 95816 (Midtown - Winn Park Capital Avenue area)",Northwest Hydraulic Consultants,None,"Typical assignments include numerical hydrologic and hydraulic modeling, water resources engineering design, data analysis, field hydrometric measurements, and…"
Environmental Specialist (California),"New Castle, DE 19720",NAES Corporation,None,Significant experience with environmental compliance and environmental services.Work with appropriate organizations and personnel to develop and implement…
Junior Water Resources Engineer,"Rancho Cordova, CA",GEI Consultants Inc,None,"Perform hydraulic design of culverts, pumps, open channels, and other hydraulic structures.Support proposal preparation and participate in business development…"
Senior Environmental Analyst - Carbon Early Engagement Engin...,"Santa Clara Valley, CA 95014",Apple,None,"Most projects will include gathering, developing, and integrating data, generating environmental models of material production and manufacturing processes,…"
Staff Geologist/Engineer/Environmental Scientist,"St. Louis, MO",GEI Consultants Inc,None,"Under supervision of the senior staff, candidates will work on a variety of environmental projects as part of a nation-wide team.3-8 years of experience."
Senior Stormwater Engineer,"Santa Maria, CA 93457",AECOM,None,"+ 6+ years of engineering and design experience focused on study, analysis, and design, for large projects with stormwater and wastewater compliance and various…"
Entry Level Field/Office Engineer - Kiewit Water Facilities...,"Dallas, TX",Kiewit Corporation,None,"Field Operations: Interpret drawings and specifications for field crews and craft, prepare work plans and work packages, order and schedule material deliveries."
"Environmental Engineer, Scientist, Geologist","South Hackensack, NJ 07606",Boswell Engineering Inc,None,The ideal candidate will be working directly under licensed Professional Engineers (PE) and Licensed Site Remediation Professionals (LSRP) providing support for…
Environmental Compliance Specialist,"Cohoes, NY 12047",Tradebe Environmental Services,$19 - $23 an hour,"Maintain multiple databases and spreadsheets for environmental compliance reporting.Provide support on environmental related issues, plans, and projects for…"
Hydraulics and Environmental Engineering Lead,"Bellevue, WA 98005 (Wilburton area)",Jacobs,None,"Leads engineering and managerial efforts for planning, design, and engineering services during construction for water or environmental projects."
Air Quality Field Engineer (Associate Level),"Denver, CO",ERM Group,"$70,000 - $72,000 a year","The ideal candidate will participate in high-demand field programs, supporting the rigors of travel and work away from the home office (anticipated to average …"
Senior Environmental Officer,"Kansas City, MO 64130 (Swope Parkway - Elmwood area)",KC Water,"$3,957 - $6,769 a month","REQUIRES an Accredited Bachelor’s degree with major course work in an environmentally related field such as environmental science, a related physical or life…"
Environmental Engineering Manager 2,"Redondo Beach, CA 90278",Northrop Grumman,None,"Reviews and analyzes environmental documentation issued by the federal EPA, SCAQMD, state and local regulatory agencies.Travel Required: Yes, 10 % of the Time."
